id,domain,rtt-openssl
112856,www.utp.edu.co,399.941521
70924,www.northsouth.edu,400.657744
139597,www.unl.edu.ec,416.206363
32340,www.uvu.edu,422.859506
36333,www.ka1.edu.pl,444.616312
175656,www.britain.edu.pk,458.871492
187657,www.uzhnu.edu.ua,484.480769
3218,www.istanbul.edu.tr,527.319272
182768,adpo.edu.ru,530.255111
83106,www.epcc.edu,537.784931
143827,www.yalova.edu.tr,539.824752
99649,www.gelisim.edu.tr,549.287314
63820,www.istanbulc.edu.tr,553.257950
182128,www.gtu.edu.tr,569.373394
21748,www.bsu.edu.ru,575.530575
74680,www.marynka.edu.pl,579.192793
110317,www.dogus.edu.tr,579.501622
173147,www.atu.edu.tr,587.915843
95177,www.pa.edu.tr,592.049291
24968,www.itu.edu.tr,597.858892
3690,www.anadolu.edu.tr,597.928590
107107,www.eskisehir.edu.tr,599.335531
102863,www.beykent.edu.tr,600.329664
190638,www.menofia.edu.eg,608.807801
142097,www.alanya.edu.tr,616.905647
2404,wisc.edu,618.425946
90021,www.isikun.edu.tr,622.370246
166692,www.bandirma.edu.tr,628.120400
164694,www.agri.edu.tr,641.509399
35529,www.uj.edu.sa,668.214418
128534,www.fagro.edu.uy,682.937731
112044,www.sha.edu.eg,698.212934
40661,www.unlam.edu.ar,702.158133
140901,www.uesiglo21.edu.ar,707.056779
129730,www.utem.edu.mx,717.455315
77984,www.uhb.edu.sa,743.201565
71452,www.fhaycs-uader.edu.ar,745.021844
26401,www.kku.edu.sa,815.279773
39916,www.pnu.edu.sa,845.607654
183479,www.msue.edu.mn,864.047271
187706,www.siirt.edu.tr,870.211990
182187,www.ascham.nsw.edu.au,876.965347
90610,www.dypatil.edu,890.780591
206882,www.luther.vic.edu.au,892.763699
165190,www.northeastern.vic.edu.au,894.569740
69182,www.fju.edu.tw,896.311273
134159,www.ateneo.edu,908.110700
5266,unsw.edu.au,931.157545
97031,www.nchu.edu.tw,942.635364
173242,www.pec.edu.pk,943.225694
46742,www.bahria.edu.pk,946.226366
72592,www.numl.edu.pk,954.102069
232224,www.kmkcp.edu.in,961.202899
9127,www.ntu.edu.tw,962.207269
8130,rmit.edu.au,964.662196
26405,www.nctu.edu.tw,971.383053
34267,www.nycu.edu.tw,971.483618
132214,www.usc.edu.au,977.019938
137719,www.aiu.edu.my,979.354879
174518,www.cpce-polyu.edu.hk,983.971960
8191,www.aiou.edu.pk,984.367249
167714,www.pegs.vic.edu.au,990.797630
102559,flinders.edu.au,991.675376
7786,www.sjtu.edu.cn,996.186422
171816,www.geelongcollege.vic.edu.au,996.781930
119892,www.rcpet.edu.tw,999.619965
171562,boxhill.edu.au,1013.605454
60156,www.tc.edu.tw,1015.559213
55262,www.shu.edu.tw,1015.895164
166939,www.cycu.edu.tw,1016.361819
4269,www.cuhk.edu.hk,1017.473145
177313,www.hc.edu.tw,1030.132183
113019,www.niu.edu.tw,1040.436322
141166,www.ashtoncollege.edu.au,1043.449628
33042,www.ntnu.edu.tw,1050.640333
84672,www.hcmut.edu.vn,1051.513559
143756,www.chuanmen.edu.vn,1052.942783
231581,www.sxccal.edu,1069.246337
30970,www.iium.edu.my,1079.050685
118187,www.uew.edu.gh,1085.958455
200244,imu.edu.my,1087.182934
171680,www.okmen.edu.vn,1093.330660
151030,www.duytan.edu.vn,1105.450591
72482,www.utem.edu.my,1107.253254
110203,www.peninsulagrammar.vic.edu.au,1114.697729
7988,www.uitm.edu.my,1117.576635
202236,www.wmsu.edu.ph,1135.482260
172685,www.vnmu.edu.vn,1136.781833
72855,www.aiims.edu,1144.703507
232811,www.apsi.edu.au,1217.907807
98835,www.ueh.edu.vn,1239.015049
12095,www.sspu.edu.cn,1244.930399
100569,www.tafesa.edu.au,1250.669868
113645,www.bvu.edu.vn,1292.677857
14302,www.shmtu.edu.cn,1352.447675
82291,www.pnu.edu.ru,1418.923579
60172,www.nust.edu.pk,1797.251114
104085,www.kmu.edu.tw,2057.971566
100446,furman.edu,0
106258,www.uam.edu.pa,0
119574,www.hcmute.edu.vn,0
121562,www.adrian.edu,0
129729,www.utcv.edu.mx,0
141671,www.nhu.edu.tw,0
147807,www.upt.edu.pe,0
188250,www.apskt.edu.hk,0
217559,www.creighton.edu,0
43749,www.llu.edu,0
82778,www.prz.edu.pl,0
82837,wccnet.edu,0
85398,www.llumc.edu,0
85837,www.asu.edu.ru,0
95348,www.cau.edu,0
