id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,3.735584,1.500093,0.819199
155445,www.lincoln.edu,8.831018,1.788300,0.671327
14394,www.american.edu,7.680908,2.953904,0.884141
217283,www.com.edu,8.882304,1.674435,0.713683
93736,gallaudet.edu,9.770865,3.761207,0.866144
228226,www.usuhs.edu,9.912327,3.867164,1.055498
35175,www.ucmerced.edu,4.903909,1.799986,0.904575
113936,www.pointpark.edu,10.366352,7.331493,0.936732
83893,www.kutztown.edu,10.785142,9.288497,0.941450
62242,www.mc3.edu,17.511395,7.591733,0.951352
170060,www.passhe.edu,37.924037,30.056267,0.949770
207595,www.lasu.edu.ng,11.012775,8.226431,0.948065
125492,www.skidmore.edu,15.494950,10.779658,0.973494
157787,www.nichols.edu,17.051444,12.961213,0.952601
16065,www.uvm.edu,22.183912,14.210283,0.880680
68825,uncg.edu,19.888256,10.853761,0.960754
120558,simmons.edu,16.131286,11.955715,0.874193
116499,qu.edu,19.899009,13.436347,0.864701
156616,www.iup.edu,17.322916,13.785685,0.924678
222063,lmunet.edu,21.873681,15.910866,0.837881
65601,www.quinnipiac.edu,18.219318,13.362701,0.926807
144548,www.gordon.edu,20.301281,14.469837,0.824985
9505,www.uconn.edu,22.305067,13.639095,1.010261
29540,www.mass.edu,21.801146,14.806278,0.828872
152353,www.camdencc.edu,20.288901,15.267953,1.653977
78170,www.fairfield.edu,17.924199,14.064034,1.097871
94097,www.lemoyne.edu,15.183024,12.171457,0.833327
103521,www.ulvr.edu.ec,16.722107,14.206912,0.753899
148652,www.berry.edu,22.243310,17.885093,0.831483
49734,www.chaffey.edu,24.809228,18.981342,1.344025
105213,www.ung.edu,20.395732,17.868631,1.023077
135730,www.delmar.edu,21.779850,18.236898,0.801602
161165,www.academiaexitus.edu.pe,26.538140,15.976473,0.910068
9305,www.sc.edu,23.061005,18.927558,0.918151
125406,www.reynolds.edu,24.579042,19.432678,0.826283
195903,www.lycoming.edu,24.920352,18.654645,1.120852
109947,www.plymouth.edu,23.926809,18.816564,0.824667
20396,artic.edu,328.612228,19.168907,0.899242
69123,www.musc.edu,29.987468,19.686203,0.962098
173618,www.colegioebenezer.edu.co,24.349339,26.487449,1.007301
9556,www.uic.edu,24.587721,19.985473,1.053053
54970,www.indwes.edu,20.939145,18.644172,0.890703
115892,www.atlm.edu,40.285895,15.187430,0.968365
171352,bju.edu,33.999339,18.715865,0.863043
132200,www.koi.edu.au,25.159484,20.637718,0.869558
180144,www.morton.edu,26.370192,23.518971,0.860928
8579,www.ohio-state.edu,29.354150,23.129498,0.861744
69255,www.etsu.edu,36.476384,22.026702,0.880094
200988,www.depauw.edu,27.411523,23.973289,0.508630
116546,www.sbu.edu,22.016607,16.921765,0.826733
97934,www.collegeforcreativestudies.edu,26.096755,22.853445,0.853571
84614,www.sunysuffolk.edu,15.213850,9.342611,0.866606
2627,www.illinois.edu,25.806705,22.608026,0.919808
184230,www.cetcolsubsidio.edu.co,24.320351,21.772006,0.920751
105615,www.uiuc.edu,27.211131,23.848930,0.930688
61111,www.uis.edu,25.424682,23.528322,0.884660
114733,www.mainemaritime.edu,28.827097,24.995199,0.891625
121074,www.queens.edu,32.498672,23.887483,0.839960
177115,www.clcillinois.edu,29.292127,24.817250,1.113976
157490,www.hgtc.edu,36.129505,23.866745,1.423222
12609,www.uga.edu,57.709107,23.765314,0.994253
33231,www.cod.edu,31.394413,25.659503,1.047237
145662,www.einstein.edu,31.118424,22.894571,1.106022
