id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,14.377494,2.687576,1.458640
155445,www.lincoln.edu,13.166456,1.680115,0.682715
14394,www.american.edu,7.478094,2.921326,0.831426
217283,www.com.edu,8.264848,1.875574,0.685896
93736,gallaudet.edu,9.633865,3.815125,0.933897
228226,www.usuhs.edu,10.880478,3.975665,0.945564
35175,www.ucmerced.edu,4.951963,1.559004,0.914583
113936,www.pointpark.edu,10.102160,6.789187,0.923944
83893,www.kutztown.edu,10.915338,9.237126,0.917145
62242,www.mc3.edu,19.456278,8.558503,1.023495
170060,www.passhe.edu,19.311390,11.126582,0.930977
207595,www.lasu.edu.ng,11.534227,8.783015,0.899538
125492,www.skidmore.edu,15.927698,11.224518,1.022140
157787,www.nichols.edu,17.214920,13.063717,0.848452
16065,www.uvm.edu,21.092856,14.173530,0.899921
68825,uncg.edu,19.963148,10.833660,0.943618
120558,simmons.edu,19.324822,12.240131,0.859021
116499,qu.edu,17.858831,13.242428,0.923606
156616,www.iup.edu,19.171203,14.198853,0.967736
222063,lmunet.edu,18.672402,13.979837,0.843668
65601,www.quinnipiac.edu,18.202588,14.157086,0.913134
144548,www.gordon.edu,45.824987,14.947876,0.920788
9505,www.uconn.edu,19.486762,14.706833,1.098167
29540,www.mass.edu,22.437451,14.284568,1.063388
152353,www.camdencc.edu,20.109025,15.299168,1.558698
78170,www.fairfield.edu,25.270768,13.635716,1.003494
94097,www.lemoyne.edu,15.293640,12.396631,0.903060
103521,www.ulvr.edu.ec,17.058150,13.971062,1.146680
148652,www.berry.edu,22.611129,17.821243,0.843914
49734,www.chaffey.edu,24.083248,17.538995,0.867173
105213,www.ung.edu,22.944807,19.164889,0.842250
135730,www.delmar.edu,22.484501,17.406137,0.831579
161165,www.academiaexitus.edu.pe,32.437334,17.209533,0.934378
9305,www.sc.edu,23.291927,18.909491,0.944471
125406,www.reynolds.edu,26.901142,21.573636,0.835697
195903,www.lycoming.edu,23.456386,18.769514,1.181639
109947,www.plymouth.edu,23.420186,18.739748,1.049445
20396,artic.edu,881.887030,19.295059,0.942119
69123,www.musc.edu,27.966186,19.576991,0.977962
173618,www.colegioebenezer.edu.co,24.710060,21.946345,0.976778
9556,www.uic.edu,23.834447,19.891974,0.982627
54970,www.indwes.edu,23.482966,17.617871,0.832754
115892,www.atlm.edu,40.835675,15.540105,0.936574
171352,bju.edu,33.926100,18.744568,0.866937
132200,www.koi.edu.au,24.053954,21.231109,0.890487
180144,www.morton.edu,26.899246,23.453789,0.846976
8579,www.ohio-state.edu,28.000333,22.883073,0.860914
69255,www.etsu.edu,35.615522,22.028342,0.896933
200988,www.depauw.edu,27.306427,24.118549,0.545711
116546,www.sbu.edu,23.399323,17.496467,0.983037
97934,www.collegeforcreativestudies.edu,32.132858,23.230264,0.827453
84614,www.sunysuffolk.edu,26.422269,15.266598,0.874819
2627,www.illinois.edu,26.323599,22.430458,0.910240
184230,www.cetcolsubsidio.edu.co,23.466365,21.774754,0.796185
105615,www.uiuc.edu,27.693796,23.675786,0.925785
61111,www.uis.edu,26.845807,24.879405,0.882946
114733,www.mainemaritime.edu,28.744740,24.900105,0.911217
