id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,4.545745,1.760310,0.807330
155445,www.lincoln.edu,10.177641,1.628171,0.695936
14394,www.american.edu,7.666041,2.947250,0.848634
217283,www.com.edu,9.803191,1.743379,0.712019
93736,gallaudet.edu,11.114410,3.315981,1.946700
228226,www.usuhs.edu,9.966842,4.157973,0.970050
35175,www.ucmerced.edu,6.702731,1.464641,1.284271
113936,www.pointpark.edu,11.795668,6.584461,2.355955
83893,www.kutztown.edu,10.555355,8.887488,0.915837
62242,www.mc3.edu,19.269304,8.632557,0.930727
170060,www.passhe.edu,19.758199,11.495111,0.939981
207595,www.lasu.edu.ng,11.383932,8.378734,0.916312
125492,www.skidmore.edu,16.333354,11.575857,0.952235
157787,www.nichols.edu,18.477420,14.105820,0.824104
16065,www.uvm.edu,21.330646,13.935193,0.841151
68825,uncg.edu,20.022079,10.840702,0.938685
120558,simmons.edu,16.713711,12.107889,0.858375
116499,qu.edu,25.013663,14.831611,0.829071
156616,www.iup.edu,39.054120,35.510762,0.921720
222063,lmunet.edu,21.569115,15.136272,0.850182
65601,www.quinnipiac.edu,20.588172,14.380668,0.942120
144548,www.gordon.edu,70.577182,14.670836,0.860899
9505,www.uconn.edu,25.247222,20.245841,0.928586
29540,www.mass.edu,70.456070,57.190403,0.823841
152353,www.camdencc.edu,20.141595,15.284093,1.592998
78170,www.fairfield.edu,19.481492,15.600261,1.112102
94097,www.lemoyne.edu,26.336999,31.105326,0.826737
103521,www.ulvr.edu.ec,19.722177,14.271132,0.739766
148652,www.berry.edu,21.775449,17.813555,0.857575
49734,www.chaffey.edu,20.933118,17.652325,0.849853
105213,www.ung.edu,20.463359,17.986538,0.905129
135730,www.delmar.edu,22.122582,17.387711,0.830253
161165,www.academiaexitus.edu.pe,21.861114,32.118092,0.905586
9305,www.sc.edu,23.665763,18.815090,1.060083
125406,www.reynolds.edu,24.942707,19.290744,0.911665
195903,www.lycoming.edu,23.214049,18.743046,1.219424
109947,www.plymouth.edu,35.530770,30.996511,0.913211
20396,artic.edu,1771.989368,19.259128,0.842528
69123,www.musc.edu,26.813077,19.547750,0.993620
173618,www.colegioebenezer.edu.co,24.712063,21.711922,0.905211
9556,www.uic.edu,24.693510,19.916204,0.933127
54970,www.indwes.edu,25.265532,21.041748,0.990620
115892,www.atlm.edu,40.199807,15.387434,0.915873
171352,bju.edu,36.664943,30.719861,0.836982
132200,www.koi.edu.au,23.501268,20.839656,0.870481
180144,www.morton.edu,26.536063,23.588283,0.894620
8579,www.ohio-state.edu,29.357593,23.168450,0.873981
69255,www.etsu.edu,35.680337,22.046272,0.859933
200988,www.depauw.edu,27.710896,24.563510,0.491730
116546,www.sbu.edu,39.555461,31.909799,0.821121
97934,www.collegeforcreativestudies.edu,26.233910,23.388035,0.843379
84614,www.sunysuffolk.edu,57.177518,13.270631,0.814345
2627,www.illinois.edu,27.579260,23.648553,0.921187
184230,www.cetcolsubsidio.edu.co,25.302172,21.741156,0.844806
105615,www.uiuc.edu,26.016252,22.302912,0.924964
61111,www.uis.edu,26.715327,24.860307,0.846795
114733,www.mainemaritime.edu,41.038098,36.385308,0.908360
121074,www.queens.edu,32.178312,23.825390,0.740374
177115,www.clcillinois.edu,29.290778,25.632683,0.841091
157490,www.hgtc.edu,35.089090,24.151344,0.888851
12609,www.uga.edu,57.940630,24.379953,0.995818
33231,www.cod.edu,32.980640,26.671711,0.841811
145662,www.einstein.edu,30.880343,22.908914,1.054989
223997,www.osumc.edu,31.174163,22.766876,0.950657
26620,www.niu.edu,38.611730,27.205672,2.898885
85407,www.midwestern.edu,30.543282,26.933505,0.843593
121771,www.pic.edu.pk,27.436930,22.279059,0.905633
115387,www.eksu.edu.ng,30.258813,20.953401,1.756694
