id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,4.156936,1.758369,0.956620
155445,www.lincoln.edu,6.402305,1.720065,0.735985
14394,www.american.edu,16.241147,2.883901,1.058333
217283,www.com.edu,9.738342,1.852007,1.524458
93736,gallaudet.edu,8.924114,3.288342,0.900245
228226,www.usuhs.edu,11.327465,3.694617,1.511246
35175,www.ucmerced.edu,4.953638,1.536327,0.974901
113936,www.pointpark.edu,10.210624,7.314759,0.939066
83893,www.kutztown.edu,10.575772,8.962374,0.887198
62242,www.mc3.edu,18.486794,8.118662,1.043084
170060,www.passhe.edu,19.118315,10.966691,0.929650
207595,www.lasu.edu.ng,11.819913,8.809637,0.895076
125492,www.skidmore.edu,16.307712,11.556423,0.969341
157787,www.nichols.edu,18.690974,14.426521,0.878077
16065,www.uvm.edu,17.703131,14.706339,0.881589
68825,uncg.edu,24.900149,10.903403,0.929073
120558,simmons.edu,16.051623,12.183293,0.812464
116499,qu.edu,19.350763,14.323142,0.955905
156616,www.iup.edu,18.787187,13.869321,0.925858
222063,lmunet.edu,17.227423,13.668844,0.843816
65601,www.quinnipiac.edu,51.630685,47.328999,0.918236
144548,www.gordon.edu,21.320273,14.696008,0.903621
9505,www.uconn.edu,20.323457,15.367667,1.037527
29540,www.mass.edu,22.563903,14.810925,0.854783
152353,www.camdencc.edu,22.981990,15.391663,1.658832
78170,www.fairfield.edu,19.336576,15.273028,1.042014
94097,www.lemoyne.edu,16.972800,12.962500,0.914821
103521,www.ulvr.edu.ec,16.755137,14.115248,0.722017
148652,www.berry.edu,24.136429,17.636748,0.854154
49734,www.chaffey.edu,25.826474,18.755106,0.878086
105213,www.ung.edu,20.631567,18.635701,0.870025
135730,www.delmar.edu,23.449105,17.665829,0.856729
161165,www.academiaexitus.edu.pe,22.166228,15.470921,0.950375
9305,www.sc.edu,22.852236,18.896364,0.935795
125406,www.reynolds.edu,24.933363,19.440684,0.858302
195903,www.lycoming.edu,23.198392,18.594769,1.145480
109947,www.plymouth.edu,23.379880,18.784808,0.884099
20396,artic.edu,282.563288,19.204666,0.837138
69123,www.musc.edu,26.659775,19.954015,1.025908
173618,www.colegioebenezer.edu.co,23.504776,21.567229,0.922956
9556,www.uic.edu,23.867991,19.916156,0.945213
54970,www.indwes.edu,25.639335,21.641662,0.851042
115892,www.atlm.edu,40.231849,15.284819,0.918596
171352,bju.edu,34.965574,18.668705,0.837933
132200,www.koi.edu.au,25.251340,20.887647,1.049485
180144,www.morton.edu,29.745800,23.741245,0.860456
8579,www.ohio-state.edu,28.372555,22.710932,0.946883
69255,www.etsu.edu,36.002874,22.066685,0.884743
200988,www.depauw.edu,28.872517,24.870530,0.500377
116546,www.sbu.edu,27.364393,17.601802,0.905471
97934,www.collegeforcreativestudies.edu,26.769642,23.068073,0.868914
84614,www.sunysuffolk.edu,47.132456,42.458991,0.842123
2627,www.illinois.edu,25.868483,22.289861,0.948550
184230,www.cetcolsubsidio.edu.co,26.029455,21.881890,0.821807
105615,www.uiuc.edu,25.834508,22.256016,0.899450
61111,www.uis.edu,26.944217,26.981276,1.091117
114733,www.mainemaritime.edu,30.184623,26.965503,0.933155
121074,www.queens.edu,37.728224,23.987047,0.734355
177115,www.clcillinois.edu,29.433089,25.146789,0.849368
157490,www.hgtc.edu,36.109983,24.142654,0.879919
12609,www.uga.edu,65.705970,23.810532,0.993630
33231,www.cod.edu,35.535999,35.651947,0.927180
145662,www.einstein.edu,31.150629,23.041800,1.037831
223997,www.osumc.edu,31.161315,22.835364,0.977505
26620,www.niu.edu,45.708535,26.054127,1.912460
85407,www.midwestern.edu,31.309979,25.152931,0.837543
121771,www.pic.edu.pk,26.227157,22.683288,1.003698
115387,www.eksu.edu.ng,35.776574,20.845125,1.643503
186068,www.colegiocreando.edu.do,24.951067,21.790935,1.617566
53917,www.usi.edu,31.587596,28.509950,0.820606
163980,www.southern.edu,33.404753,22.667695,1.552340
179013,www.fvtc.edu,31.240123,28.838710,0.837387
72678,lynn.edu,34.758680,28.366702,0.723986
15451,fordham.edu,84.651936,41.766086,1.006600
104950,www.imsa.edu,34.680010,27.619671,0.922694
104718,www.uwf.edu,38.891203,25.375458,0.953047
10642,www.wayne.edu,36.353279,31.223349,0.882403
36748,www.nova.edu,35.222895,28.635111,1.668799
133667,www.naropa.edu,35.438320,32.606181,0.843640
232412,www.siumed.edu,38.009431,28.796848,0.845394
143903,umflint.edu,38.916374,31.916963,1.010492
79742,www.daytonastate.edu,33.510716,30.281594,0.832977
120784,www.tjc.edu,39.067201,34.194167,1.028949
13638,rice.edu,40.125844,31.754628,0.944623
60530,www.augusta.edu,37.334793,33.397657,0.813004
202345,www.asds.edu.co,38.602749,35.271382,0.756519
85700,www.iris.edu,38.617719,33.885725,0.923224
200593,www.istpargentina.edu.pe,36.335708,32.675193,0.876913
203489,www.ws.edu,42.273804,39.036911,0.854767
29620,www.macomb.edu,56.347055,34.166650,0.985867
49453,www.uthsc.edu,41.141995,35.731539,1.108430
9808,elearning.edu.sa,38.506622,32.649567,0.862071
33066,www.umsl.edu,44.768542,38.591703,1.282178
20503,www.smu.edu,46.920574,39.571242,0.954665
54165,centralmethodist.edu,41.203038,38.562028,0.898883
153834,www.iccms.edu,49.388373,46.475851,0.854330
94909,www.fsw.edu,62.342061,34.138064,0.867951
170326,www.roanestate.edu,43.538825,40.286007,0.906502
219939,www.grayson.edu,41.754749,38.193588,0.815173
101973,www.truman.edu,43.796431,39.682731,0.868644
17709,www.stcloudstate.edu,43.067608,39.198371,0.934233
36940,trustees.ufl.edu,32.584635,28.410396,1.138345
100285,www.uaex.edu,44.403318,40.591594,0.889708
94066,www.georgiasouthern.edu,37.213206,33.643810,0.843531
40013,www.uark.edu,47.572749,42.233250,0.919390
86106,www.actx.edu,50.696810,46.603156,0.853057
151199,www.landivarinspira.edu.gt,39.938053,38.269907,0.897403
168463,www.briarcliff.edu,52.766059,48.251052,0.856285
8840,usf.edu,37.447829,28.643216,0.967753
152777,www.itep.edu.pe,40.545550,37.930878,0.931580
30554,www.uwi.edu,49.824018,47.713541,0.980197
2404,wisc.edu,40.289928,24.210023,1.196764
202623,www.usergioarboleda.edu.co,16.443071,1.891743,1.713754
173126,www.wiregrass.edu,29.714606,25.750076,0.917366
76645,www.washburn.edu,61.527133,44.926051,1.938109
