id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,6.853840,1.958149,0.882598
155445,www.lincoln.edu,8.847708,1.838134,0.834281
14394,www.american.edu,7.686706,2.943535,0.973956
217283,www.com.edu,9.980831,1.793772,0.729584
93736,gallaudet.edu,8.372787,3.785892,0.831706
228226,www.usuhs.edu,10.601318,3.855523,1.075027
35175,www.ucmerced.edu,6.665153,1.555705,1.650279
113936,www.pointpark.edu,9.512708,6.677993,0.902595
83893,www.kutztown.edu,11.231390,9.468893,1.073127
62242,www.mc3.edu,17.830169,7.783942,0.939665
170060,www.passhe.edu,38.502984,30.199335,0.942125
207595,www.lasu.edu.ng,14.027568,8.234659,0.915953
125492,www.skidmore.edu,16.139453,11.586581,0.973368
157787,www.nichols.edu,17.655321,13.662520,0.838250
16065,www.uvm.edu,21.470239,13.700699,0.921922
68825,uncg.edu,20.113473,10.897352,0.942478
120558,simmons.edu,16.172477,12.733834,0.856065
116499,qu.edu,20.560878,13.463895,0.858349
156616,www.iup.edu,17.542142,14.125658,1.075753
222063,lmunet.edu,21.202744,14.966451,0.834022
65601,www.quinnipiac.edu,19.453740,15.571108,0.917641
144548,www.gordon.edu,19.375261,15.057776,0.870810
9505,www.uconn.edu,20.273012,15.296528,1.052770
29540,www.mass.edu,22.364614,14.163319,0.848286
152353,www.camdencc.edu,20.065511,15.514819,1.586123
78170,www.fairfield.edu,18.346488,14.308557,1.114496
94097,www.lemoyne.edu,18.463600,12.964793,0.840241
103521,www.ulvr.edu.ec,17.129295,14.126242,0.736079
148652,www.berry.edu,23.376230,18.017926,0.850946
49734,www.chaffey.edu,20.855258,17.467461,1.072584
105213,www.ung.edu,23.086510,19.183599,0.984963
135730,www.delmar.edu,20.643721,17.396309,1.008666
161165,www.academiaexitus.edu.pe,96.665286,16.894391,0.953534
9305,www.sc.edu,24.452922,18.819749,0.934876
125406,www.reynolds.edu,27.025615,21.574199,0.884122
195903,www.lycoming.edu,23.108828,18.687243,1.179547
109947,www.plymouth.edu,23.353966,18.812816,0.869848
20396,artic.edu,23.459452,19.370230,0.858806
69123,www.musc.edu,27.637978,19.632377,1.004156
173618,www.colegioebenezer.edu.co,23.985376,21.739277,0.918077
9556,www.uic.edu,23.952493,19.935096,0.976080
54970,www.indwes.edu,21.455757,17.511890,0.890267
115892,www.atlm.edu,40.460084,15.335643,0.955861
171352,bju.edu,34.033755,18.710359,0.853440
132200,www.koi.edu.au,24.482788,21.422787,0.911456
180144,www.morton.edu,27.060707,23.477055,0.848077
8579,www.ohio-state.edu,28.678343,22.958510,0.883639
69255,www.etsu.edu,36.164356,21.967312,1.150448
200988,www.depauw.edu,29.070835,24.202708,0.524363
116546,www.sbu.edu,31.924691,26.927986,0.834127
97934,www.collegeforcreativestudies.edu,26.310765,22.970123,0.860694
84614,www.sunysuffolk.edu,14.998652,9.305039,0.845100
2627,www.illinois.edu,27.108920,22.692225,0.950123
184230,www.cetcolsubsidio.edu.co,23.814452,21.775600,0.822531
105615,www.uiuc.edu,28.734624,22.622270,0.926903
61111,www.uis.edu,25.454930,23.578790,0.859479
114733,www.mainemaritime.edu,28.441324,24.953196,0.958140
121074,www.queens.edu,32.369916,24.024229,0.748532
177115,www.clcillinois.edu,29.121881,25.129817,0.863350
157490,www.hgtc.edu,33.584666,23.883944,0.891132
12609,www.uga.edu,40.219881,23.903806,1.180621
33231,www.cod.edu,32.168820,26.300167,0.848905
145662,www.einstein.edu,30.594046,22.712961,1.056394
223997,www.osumc.edu,30.791826,22.424298,0.942720
26620,www.niu.edu,36.781055,25.552137,1.977687
85407,www.midwestern.edu,31.299237,24.652978,0.879350
121771,www.pic.edu.pk,27.565288,22.261772,0.947610
115387,www.eksu.edu.ng,45.393858,22.973998,1.614210
186068,www.colegiocreando.edu.do,25.171837,21.726063,0.914989
53917,www.usi.edu,31.229510,28.534004,0.908290
163980,www.southern.edu,31.729477,21.402956,1.923245
179013,www.fvtc.edu,31.779077,33.071871,0.924026
72678,lynn.edu,37.816323,28.411347,0.783219
15451,fordham.edu,20.758327,7.239030,1.054025
104950,www.imsa.edu,35.405085,28.134330,1.119278
104718,www.uwf.edu,39.331696,25.434225,0.937869
10642,www.wayne.edu,36.370161,31.158655,0.845918
36748,www.nova.edu,35.239171,28.701955,1.663047
133667,www.naropa.edu,37.609302,34.597671,0.826881
232412,www.siumed.edu,37.686706,28.475211,0.874108
143903,umflint.edu,41.417166,32.000303,0.931020
79742,www.daytonastate.edu,34.546250,30.284593,0.847906
120784,www.tjc.edu,38.877549,34.322995,0.884098
13638,rice.edu,40.062868,31.674359,0.851378
