id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,377.867001,39.910459,0.844264
155445,www.lincoln.edu,10.557353,1.550021,0.683984
14394,www.american.edu,8.026654,2.898821,0.819476
217283,www.com.edu,8.319324,1.533120,0.688685
93736,gallaudet.edu,8.129041,3.554690,0.825839
228226,www.usuhs.edu,11.370572,5.440240,1.066106
35175,www.ucmerced.edu,6.676468,1.619522,0.886389
113936,www.pointpark.edu,9.780804,7.203245,0.900858
83893,www.kutztown.edu,10.898082,9.175588,0.942488
62242,www.mc3.edu,17.666263,7.555035,1.066501
170060,www.passhe.edu,38.308469,30.236089,1.079405
207595,www.lasu.edu.ng,10.851194,8.030069,0.947262
125492,www.skidmore.edu,15.619303,10.905179,0.987504
157787,www.nichols.edu,17.307391,13.036383,0.980376
16065,www.uvm.edu,18.199855,13.995368,0.846289
68825,uncg.edu,20.177123,11.052474,0.978873
120558,simmons.edu,16.250101,11.946788,0.983541
116499,qu.edu,17.866158,13.346386,0.933436
156616,www.iup.edu,17.736434,14.181567,0.907031
222063,lmunet.edu,18.427305,14.908598,1.062310
65601,www.quinnipiac.edu,20.440499,13.467304,0.834505
144548,www.gordon.edu,73.529448,14.844594,0.869588
9505,www.uconn.edu,20.466350,14.284867,1.007855
29540,www.mass.edu,22.237969,14.317037,0.947825
152353,www.camdencc.edu,24.722281,15.845823,5.549593
78170,www.fairfield.edu,18.977112,14.813013,1.310273
94097,www.lemoyne.edu,18.070890,12.495814,0.853174
103521,www.ulvr.edu.ec,16.674369,14.061947,0.715324
148652,www.berry.edu,22.999462,17.642332,0.857356
49734,www.chaffey.edu,21.466179,17.670947,0.866954
105213,www.ung.edu,20.527499,17.968421,0.832331
135730,www.delmar.edu,22.273772,17.645546,0.829770
161165,www.academiaexitus.edu.pe,18.491532,15.475743,0.984185
9305,www.sc.edu,22.971173,18.817131,0.975629
125406,www.reynolds.edu,26.996692,21.554997,0.871566
195903,www.lycoming.edu,23.273541,18.695262,1.170305
109947,www.plymouth.edu,23.321715,18.795385,0.834291
20396,artic.edu,23.510567,19.343857,0.843411
69123,www.musc.edu,26.593505,20.687322,0.941017
173618,www.colegioebenezer.edu.co,23.827169,21.826797,1.039904
9556,www.uic.edu,23.851295,19.800162,0.992983
54970,www.indwes.edu,20.449255,17.467878,0.854594
115892,www.atlm.edu,40.181774,15.525247,0.922259
171352,bju.edu,33.162373,18.679351,0.840909
132200,www.koi.edu.au,23.827139,20.908681,0.906306
180144,www.morton.edu,27.119545,23.492627,0.856537
8579,www.ohio-state.edu,28.418864,22.911525,0.949105
69255,www.etsu.edu,35.504749,21.857349,0.938474
200988,www.depauw.edu,28.885712,24.190540,0.556059
116546,www.sbu.edu,21.880512,16.769278,0.805608
97934,www.collegeforcreativestudies.edu,26.335353,23.025123,0.867907
84614,www.sunysuffolk.edu,15.803093,8.704993,1.344403
2627,www.illinois.edu,25.694292,22.508510,0.919332
184230,www.cetcolsubsidio.edu.co,24.145445,21.955533,0.849998
105615,www.uiuc.edu,27.302031,23.910818,1.058511
61111,www.uis.edu,25.309552,23.432971,0.858868
114733,www.mainemaritime.edu,28.556336,25.105051,1.003289
121074,www.queens.edu,32.512546,23.879062,0.800097
177115,www.clcillinois.edu,29.347792,25.222102,0.845834
157490,www.hgtc.edu,36.203863,23.764459,0.913063
12609,www.uga.edu,414.620176,23.908057,0.998086
33231,www.cod.edu,31.311997,26.046229,0.850914
145662,www.einstein.edu,30.679412,22.999505,1.036906
223997,www.osumc.edu,31.231719,22.759422,0.939183
26620,www.niu.edu,36.758282,25.973198,1.995775
85407,www.midwestern.edu,31.583896,24.615691,0.835691
121771,www.pic.edu.pk,25.537044,22.464172,1.106933
115387,www.eksu.edu.ng,41.810768,20.952685,1.566027
186068,www.colegiocreando.edu.do,24.543774,21.849297,0.904515
53917,www.usi.edu,31.560422,28.504646,0.828755
163980,www.southern.edu,30.745631,21.764251,1.636881
179013,www.fvtc.edu,30.815937,28.920295,0.875506
72678,lynn.edu,34.613628,28.292278,0.798381
15451,fordham.edu,22.366604,8.530648,0.996662
104950,www.imsa.edu,34.842061,27.524955,0.951929
104718,www.uwf.edu,38.999977,25.252529,1.029718
10642,www.wayne.edu,35.620628,30.505590,0.873611
36748,www.nova.edu,35.092977,28.501927,1.675976
133667,www.naropa.edu,36.641669,34.767783,0.876495
232412,www.siumed.edu,37.946736,28.854147,0.842053
143903,umflint.edu,41.701103,31.938837,1.071032
79742,www.daytonastate.edu,33.246453,30.110372,0.827446
120784,www.tjc.edu,41.699894,34.078057,0.877690
13638,rice.edu,43.879324,36.050303,0.870433
60530,www.augusta.edu,37.570028,33.611886,0.822876
202345,www.asds.edu.co,38.325582,34.994010,0.796561
85700,www.iris.edu,38.063724,33.658579,0.867409
200593,www.istpargentina.edu.pe,36.462441,32.551348,0.914316
203489,www.ws.edu,40.353813,36.817444,0.851027
29620,www.macomb.edu,24.666468,17.082953,0.943113
49453,www.uthsc.edu,40.304319,35.716561,0.803621
9808,elearning.edu.sa,38.786524,32.495583,0.851108
33066,www.umsl.edu,52.138102,41.626080,1.122786
20503,www.smu.edu,43.057332,38.785458,0.969709
54165,centralmethodist.edu,42.170136,38.437298,0.893072
153834,www.iccms.edu,46.187753,43.181777,0.897576
94909,www.fsw.edu,40.076662,45.915669,0.954154
170326,www.roanestate.edu,43.341500,40.090974,0.916265
219939,www.grayson.edu,43.293837,39.061828,0.829745
101973,www.truman.edu,43.807453,39.457661,1.002798
17709,www.stcloudstate.edu,43.001692,38.852498,0.849880
36940,trustees.ufl.edu,31.888162,28.509545,0.927762
100285,www.uaex.edu,43.444863,40.719521,0.840410
94066,www.georgiasouthern.edu,38.129143,33.600061,0.827540
40013,www.uark.edu,47.000311,42.090422,1.164306
86106,www.actx.edu,45.526118,41.520713,0.810690
151199,www.landivarinspira.edu.gt,39.308559,37.342080,0.901848
168463,www.briarcliff.edu,51.723136,47.132764,0.857212
8840,usf.edu,32.067521,28.337435,0.946213
152777,www.itep.edu.pe,39.621644,37.942967,0.912233
30554,www.uwi.edu,50.555061,56.130377,0.865195
2404,wisc.edu,32.612540,24.166820,0.906612
202623,www.usergioarboleda.edu.co,16.219797,1.840271,1.652622
173126,www.wiregrass.edu,30.115036,25.681250,0.912366
76645,www.washburn.edu,47.716775,31.726296,1.590225
