id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,3.818471,1.333288,0.830027
155445,www.lincoln.edu,11.900582,1.832673,1.315233
14394,www.american.edu,7.848234,3.294753,1.124203
217283,www.com.edu,8.654920,1.913747,0.738036
93736,gallaudet.edu,9.278403,4.047127,1.162894
228226,www.usuhs.edu,13.318951,5.387629,0.983238
35175,www.ucmerced.edu,4.678708,1.449905,0.908369
113936,www.pointpark.edu,10.649725,10.442641,0.914463
83893,www.kutztown.edu,11.192031,9.295660,0.970337
62242,www.mc3.edu,18.613455,8.157073,0.922311
170060,www.passhe.edu,19.416127,11.163665,0.966620
207595,www.lasu.edu.ng,11.069962,8.198542,0.894973
125492,www.skidmore.edu,15.622325,10.717948,1.230526
157787,www.nichols.edu,17.449496,12.978075,1.275723
16065,www.uvm.edu,21.604565,13.891129,0.854603
68825,uncg.edu,22.657641,10.888434,0.982532
120558,simmons.edu,16.683473,12.148684,0.826019
116499,qu.edu,21.190252,13.397590,0.847864
156616,www.iup.edu,17.935384,14.311267,0.915907
222063,lmunet.edu,18.261412,14.962513,0.834404
65601,www.quinnipiac.edu,18.466201,13.367076,0.951961
144548,www.gordon.edu,19.345935,14.471039,0.854127
9505,www.uconn.edu,20.070554,15.205875,0.996490
29540,www.mass.edu,22.356405,14.237237,1.038508
152353,www.camdencc.edu,20.549771,15.228185,1.585872
78170,www.fairfield.edu,19.705492,13.821650,1.062507
94097,www.lemoyne.edu,17.970395,12.203071,0.843917
103521,www.ulvr.edu.ec,17.848222,14.176960,0.727473
148652,www.berry.edu,24.097216,17.615210,0.855188
49734,www.chaffey.edu,21.191265,17.710646,0.989527
105213,www.ung.edu,21.969581,19.247649,0.931205
135730,www.delmar.edu,22.292466,17.620542,0.872026
161165,www.academiaexitus.edu.pe,51.225267,24.245076,0.925441
9305,www.sc.edu,23.771654,18.942160,1.592513
125406,www.reynolds.edu,26.126587,21.632273,0.886316
