id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,5.479435,1.532047,0.819463
155445,www.lincoln.edu,8.595947,1.768812,0.715350
14394,www.american.edu,7.783249,3.116286,0.868965
217283,www.com.edu,8.426424,1.755869,0.697363
93736,gallaudet.edu,8.206190,4.120206,0.875033
228226,www.usuhs.edu,9.850363,3.632691,0.987041
35175,www.ucmerced.edu,4.894658,1.701450,0.908739
113936,www.pointpark.edu,9.920474,7.340220,0.932924
83893,www.kutztown.edu,11.430270,9.669360,0.954099
62242,www.mc3.edu,20.335253,9.045371,1.090218
170060,www.passhe.edu,38.534153,30.258724,0.928691
207595,www.lasu.edu.ng,11.359306,8.123409,1.114134
125492,www.skidmore.edu,16.693114,12.096079,0.961127
157787,www.nichols.edu,16.578286,12.949254,0.957642
16065,www.uvm.edu,21.602820,13.940939,0.853204
68825,uncg.edu,20.069124,10.858661,0.952642
120558,simmons.edu,16.014457,12.132288,0.829048
116499,qu.edu,21.976883,15.916802,0.879475
156616,www.iup.edu,17.491698,13.920331,0.931871
222063,lmunet.edu,18.169398,14.809180,0.886911
65601,www.quinnipiac.edu,20.998069,14.357636,0.861576
144548,www.gordon.edu,28.864257,14.803770,0.917169
9505,www.uconn.edu,19.046093,14.311289,0.966975
29540,www.mass.edu,22.688352,15.042131,0.828030
152353,www.camdencc.edu,20.334393,15.524302,1.735264
78170,www.fairfield.edu,17.545376,13.772857,1.101259
94097,www.lemoyne.edu,15.705569,12.953094,0.865842
103521,www.ulvr.edu.ec,17.846614,14.592491,0.729435
148652,www.berry.edu,21.632319,17.522560,0.842890
49734,www.chaffey.edu,22.562957,18.110405,0.859710
105213,www.ung.edu,22.291921,19.247122,0.982893
135730,www.delmar.edu,24.847418,17.916457,0.841957
161165,www.academiaexitus.edu.pe,18.697923,23.795753,0.964651
9305,www.sc.edu,22.891657,18.898838,0.936033
125406,www.reynolds.edu,25.877945,20.467871,1.016985
195903,www.lycoming.edu,23.238243,18.705447,1.196160
109947,www.plymouth.edu,23.366498,18.877278,0.872970
20396,artic.edu,23.301874,19.232585,0.838943
69123,www.musc.edu,26.535013,19.626012,0.967676
173618,www.colegioebenezer.edu.co,23.716990,22.487252,0.948000
9556,www.uic.edu,24.603307,20.369299,0.947949
54970,www.indwes.edu,24.116238,18.811915,0.860408
115892,www.atlm.edu,40.277282,15.392789,0.912601
171352,bju.edu,34.579948,18.760575,0.825147
132200,www.koi.edu.au,24.554083,21.084426,0.879732
180144,www.morton.edu,26.360554,23.517836,0.848487
8579,www.ohio-state.edu,28.088166,22.728631,0.872785
69255,www.etsu.edu,36.098420,22.108997,0.874155
200988,www.depauw.edu,27.040657,23.741611,0.501240
116546,www.sbu.edu,32.281495,27.542502,0.825438
97934,www.collegeforcreativestudies.edu,31.416758,23.701337,0.852474
84614,www.sunysuffolk.edu,26.888236,17.002879,0.909150
2627,www.illinois.edu,28.179915,24.151247,0.934492
184230,www.cetcolsubsidio.edu.co,24.105836,21.844028,0.849092
105615,www.uiuc.edu,27.537002,23.812665,0.912688
61111,www.uis.edu,26.658863,24.761897,0.916791
114733,www.mainemaritime.edu,28.282677,25.545955,0.920177
121074,www.queens.edu,32.077194,24.105991,0.955015
177115,www.clcillinois.edu,28.924475,24.786753,0.871008
157490,www.hgtc.edu,37.835663,24.156649,1.010084
12609,www.uga.edu,58.798459,24.634768,1.181499
33231,www.cod.edu,31.337632,25.745782,1.096350
145662,www.einstein.edu,31.930593,23.312161,1.148240
223997,www.osumc.edu,34.555219,22.545269,0.968014
26620,www.niu.edu,36.628554,25.956615,2.027887
85407,www.midwestern.edu,32.250905,25.595284,0.842291
121771,www.pic.edu.pk,27.906996,22.283508,0.910873
115387,www.eksu.edu.ng,35.839212,21.426461,1.709945
186068,www.colegiocreando.edu.do,25.926643,21.928189,0.913531
53917,www.usi.edu,31.820837,28.693936,0.840434
163980,www.southern.edu,31.652652,22.026903,1.592020
179013,www.fvtc.edu,32.552909,29.539582,0.827989
72678,lynn.edu,34.808836,28.597384,0.775887
15451,fordham.edu,22.138921,8.591991,0.968035
104950,www.imsa.edu,37.309191,27.774669,0.989697
104718,www.uwf.edu,39.106675,25.503271,0.924728
10642,www.wayne.edu,38.223781,32.571566,0.850505
36748,www.nova.edu,35.447406,28.657044,1.732172
133667,www.naropa.edu,34.188019,31.571842,0.849898
232412,www.siumed.edu,43.482357,28.664492,0.848318
143903,umflint.edu,39.717534,32.846136,0.951064
79742,www.daytonastate.edu,34.306612,30.764764,0.851411
120784,www.tjc.edu,47.681798,34.493621,0.864505
