id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,3.710427,1.682026,0.819235
155445,www.lincoln.edu,9.114611,2.196076,0.922892
14394,www.american.edu,7.635781,3.004956,0.926308
217283,www.com.edu,11.817519,1.935654,0.683334
93736,gallaudet.edu,9.906838,3.772142,0.856655
228226,www.usuhs.edu,10.090226,3.985219,0.905761
35175,www.ucmerced.edu,4.691500,1.519154,0.899715
113936,www.pointpark.edu,10.663108,7.467081,1.417519
83893,www.kutztown.edu,11.603224,10.764455,0.980010
62242,www.mc3.edu,19.256158,8.526848,1.001999
170060,www.passhe.edu,19.284593,11.114534,0.945012
207595,www.lasu.edu.ng,11.397668,8.363550,0.899672
125492,www.skidmore.edu,16.137289,12.898560,0.942930
157787,www.nichols.edu,17.095500,13.129738,0.792076
16065,www.uvm.edu,22.939338,14.015434,0.889499
68825,uncg.edu,24.661388,10.878566,1.326497
120558,simmons.edu,17.075675,12.552589,0.840730
116499,qu.edu,19.884980,13.810352,0.853089
156616,www.iup.edu,40.077109,35.000562,1.165080
222063,lmunet.edu,17.739774,13.986492,0.938129
65601,www.quinnipiac.edu,43.258960,14.257947,0.929636
144548,www.gordon.edu,43.136803,14.590588,2.324870
9505,www.uconn.edu,20.950406,16.151628,0.936181
29540,www.mass.edu,22.345325,14.292859,0.853143
152353,www.camdencc.edu,20.354850,15.316150,1.641067
78170,www.fairfield.edu,18.106636,14.036806,1.147552
94097,www.lemoyne.edu,16.983103,17.702276,0.871445
103521,www.ulvr.edu.ec,16.735268,14.094271,0.804319
148652,www.berry.edu,21.962260,17.803582,0.843418
49734,www.chaffey.edu,22.290920,18.471157,0.879871
105213,www.ung.edu,20.494925,18.099576,0.878518
135730,www.delmar.edu,23.680711,17.985631,0.992559
161165,www.academiaexitus.edu.pe,27.455882,22.732934,0.985317
9305,www.sc.edu,22.962161,18.771559,0.967727
125406,www.reynolds.edu,25.142669,19.345616,0.849585
195903,www.lycoming.edu,23.285489,18.635861,1.281904
109947,www.plymouth.edu,35.455017,30.979159,0.933421
20396,artic.edu,24.093832,19.317494,0.885693
69123,www.musc.edu,27.469684,19.512143,1.087288
173618,www.colegioebenezer.edu.co,23.694606,21.459800,0.957639
9556,www.uic.edu,28.336363,19.937832,1.157875
54970,www.indwes.edu,23.955406,17.658075,0.880694
115892,www.atlm.edu,40.927869,15.381696,1.459506
171352,bju.edu,33.847633,19.180560,0.806912
132200,www.koi.edu.au,24.872683,20.742039,0.901666
180144,www.morton.edu,26.780085,23.391221,0.850985
8579,www.ohio-state.edu,31.495597,24.451700,1.359732
69255,www.etsu.edu,35.999499,22.181976,0.865478
200988,www.depauw.edu,26.608356,103.350104,0.492367
116546,www.sbu.edu,42.112752,37.320507,0.815563
97934,www.collegeforcreativestudies.edu,26.759501,23.438250,0.877148
84614,www.sunysuffolk.edu,14.316626,9.338378,0.860137
2627,www.illinois.edu,26.012280,22.305967,0.938959
184230,www.cetcolsubsidio.edu.co,25.311702,21.713941,0.844494
105615,www.uiuc.edu,26.917848,22.418832,0.962740
61111,www.uis.edu,25.734654,23.394267,1.177814
114733,www.mainemaritime.edu,43.024935,36.288958,0.907526
121074,www.queens.edu,32.320043,23.919656,0.735722
177115,www.clcillinois.edu,30.585658,25.885116,0.844610
157490,www.hgtc.edu,36.858111,24.431448,0.905135
12609,www.uga.edu,63.118402,23.867180,1.038621
33231,www.cod.edu,31.135132,26.089008,0.836143
145662,www.einstein.edu,35.959009,23.520180,1.010966
223997,www.osumc.edu,30.838032,22.358486,0.953501
26620,www.niu.edu,36.350206,25.504362,2.017106
85407,www.midwestern.edu,31.232457,25.109619,0.842660
121771,www.pic.edu.pk,26.428994,22.751197,0.888182
115387,www.eksu.edu.ng,35.692443,21.004949,1.682135
186068,www.colegiocreando.edu.do,24.478224,21.861580,0.936794
53917,www.usi.edu,31.048821,28.582693,0.842255
163980,www.southern.edu,36.241207,24.728993,1.632125
179013,www.fvtc.edu,31.536066,28.826188,0.834213
72678,lynn.edu,35.323557,29.025358,0.732590
15451,fordham.edu,21.696878,7.637554,1.137273
104950,www.imsa.edu,35.153448,28.088789,0.940730
104718,www.uwf.edu,38.846513,25.420250,0.949505
10642,www.wayne.edu,36.414046,30.753959,1.009744
36748,www.nova.edu,35.837977,28.849997,2.038551
