id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,342.891373,6.186212,0.958479
155445,www.lincoln.edu,7.322807,1.698542,0.690511
14394,www.american.edu,7.442306,2.984377,0.839145
217283,www.com.edu,8.347128,1.668523,0.688705
93736,gallaudet.edu,10.873789,3.544732,0.922391
228226,www.usuhs.edu,11.520807,4.444595,2.509507
35175,www.ucmerced.edu,4.684053,1.438211,0.874995
113936,www.pointpark.edu,18.476317,12.382445,1.989967
83893,www.kutztown.edu,10.634898,9.122283,1.153204
62242,www.mc3.edu,18.507297,8.160533,1.070984
170060,www.passhe.edu,19.742843,11.573222,0.970201
207595,www.lasu.edu.ng,11.808882,8.758329,1.157114
125492,www.skidmore.edu,17.286748,11.477785,1.147592
157787,www.nichols.edu,17.291820,13.016643,0.970940
16065,www.uvm.edu,16.799724,13.651412,0.890808
68825,uncg.edu,20.194859,10.818981,1.081788
120558,simmons.edu,15.787377,12.958557,0.845472
116499,qu.edu,19.407604,13.410492,0.933218
156616,www.iup.edu,17.437381,13.800941,0.927822
222063,lmunet.edu,18.539656,15.155711,0.832024
65601,www.quinnipiac.edu,19.994440,13.863713,0.960263
144548,www.gordon.edu,20.461939,15.151603,0.822709
9505,www.uconn.edu,20.293952,14.087460,0.994318
29540,www.mass.edu,22.558991,14.440779,0.865373
152353,www.camdencc.edu,20.813265,15.916753,1.542224
78170,www.fairfield.edu,20.143407,14.713303,1.026362
94097,www.lemoyne.edu,16.044666,13.043646,1.022912
103521,www.ulvr.edu.ec,16.610973,14.080973,0.746354
148652,www.berry.edu,22.100384,18.792331,0.852152
49734,www.chaffey.edu,20.241890,17.437194,0.871833
105213,www.ung.edu,23.323199,19.179517,1.173440
135730,www.delmar.edu,20.318494,17.883942,0.845432
161165,www.academiaexitus.edu.pe,22.725320,15.751403,0.933526
9305,www.sc.edu,23.279174,18.903975,0.917883
125406,www.reynolds.edu,27.238547,21.480752,0.925184
195903,www.lycoming.edu,23.168391,18.622802,1.237642
109947,www.plymouth.edu,23.491574,18.799670,0.893577
20396,artic.edu,24.732682,19.215717,1.878964
69123,www.musc.edu,28.350603,19.660681,1.036420
173618,www.colegioebenezer.edu.co,33.301248,21.732242,10.047825
9556,www.uic.edu,27.336135,19.664714,4.576120
54970,www.indwes.edu,22.559132,18.318671,0.897089
115892,www.atlm.edu,35.334886,15.470704,0.907025
171352,bju.edu,38.916535,18.767775,0.831051
132200,www.koi.edu.au,28.940034,24.186636,0.901491
180144,www.morton.edu,27.889045,24.442936,0.810719
8579,www.ohio-state.edu,28.586335,23.156035,0.936243
69255,www.etsu.edu,42.692929,22.092265,0.847059
200988,www.depauw.edu,27.424864,24.362648,0.627432
116546,www.sbu.edu,24.092017,16.556856,0.817739
97934,www.collegeforcreativestudies.edu,26.033540,22.882642,0.847984
84614,www.sunysuffolk.edu,14.255231,9.234591,1.120686
2627,www.illinois.edu,27.749768,22.382427,0.918843
184230,www.cetcolsubsidio.edu.co,24.011016,21.746303,0.855340
105615,www.uiuc.edu,27.782251,23.886121,0.923472
61111,www.uis.edu,26.503025,24.651805,0.850507
114733,www.mainemaritime.edu,29.036043,25.269923,0.920900
121074,www.queens.edu,32.019438,23.570688,0.726626
177115,www.clcillinois.edu,29.536829,25.549512,0.821557
157490,www.hgtc.edu,33.200760,23.499727,0.858293
12609,www.uga.edu,58.186539,23.530336,0.974776
33231,www.cod.edu,31.139352,25.504924,0.887577
145662,www.einstein.edu,31.356474,23.484976,0.998806
223997,www.osumc.edu,33.043612,22.351251,0.957549
26620,www.niu.edu,35.953566,25.301661,1.915719
85407,www.midwestern.edu,31.792566,25.797754,0.829165
121771,www.pic.edu.pk,25.630224,21.556727,1.108644
115387,www.eksu.edu.ng,29.012530,19.228207,1.553741
186068,www.colegiocreando.edu.do,24.297187,21.618419,0.912150
53917,www.usi.edu,31.449059,28.528861,0.932155
163980,www.southern.edu,32.257409,21.616722,2.207548
179013,www.fvtc.edu,30.791983,28.887782,0.820631
72678,lynn.edu,34.595454,28.349021,0.760792
15451,fordham.edu,22.372730,8.485014,1.017321
104950,www.imsa.edu,35.250782,27.416337,1.043896
104718,www.uwf.edu,39.090503,25.315168,0.916031
10642,www.wayne.edu,36.376700,31.039776,0.849471
36748,www.nova.edu,35.611648,29.017373,1.656568
133667,www.naropa.edu,37.441255,35.488652,0.873477
232412,www.siumed.edu,37.397151,28.293360,0.838303
143903,umflint.edu,38.766697,32.124745,1.117786
79742,www.daytonastate.edu,44.441434,32.191415,0.849125
120784,www.tjc.edu,39.303300,34.064270,0.887970
13638,rice.edu,49.595658,41.416089,0.882414
60530,www.augusta.edu,37.808124,33.497020,0.851355
202345,www.asds.edu.co,39.224191,35.303116,0.743600
85700,www.iris.edu,38.603426,33.778521,0.918181
200593,www.istpargentina.edu.pe,37.673080,32.853095,0.952416
203489,www.ws.edu,40.453814,37.087732,0.827207
29620,www.macomb.edu,22.971529,18.126941,1.150322
49453,www.uthsc.edu,40.836282,35.970124,0.848360
9808,elearning.edu.sa,36.807198,32.844968,0.867195
33066,www.umsl.edu,48.363244,38.675647,1.078569
20503,www.smu.edu,43.259139,39.138973,0.990247
54165,centralmethodist.edu,43.983692,38.648942,0.903631
153834,www.iccms.edu,46.206778,43.134085,0.859356
94909,www.fsw.edu,39.086995,33.664621,0.846921
170326,www.roanestate.edu,45.641501,40.343248,0.889738
219939,www.grayson.edu,44.451649,40.215850,0.835743
101973,www.truman.edu,43.962517,39.713792,0.919012
17709,www.stcloudstate.edu,44.897704,41.899663,0.892208
36940,trustees.ufl.edu,31.670894,28.827985,0.920610
100285,www.uaex.edu,44.089544,41.615013,0.891171
94066,www.georgiasouthern.edu,37.638759,34.004334,0.863804
40013,www.uark.edu,48.454766,42.588603,0.919135
86106,www.actx.edu,50.607901,46.495743,0.858774
151199,www.landivarinspira.edu.gt,40.777871,38.156439,0.971147
168463,www.briarcliff.edu,52.314128,47.655804,0.872491
152777,www.itep.edu.pe,39.526003,37.960704,0.918332
30554,www.uwi.edu,46.934175,43.990019,0.911766
2404,wisc.edu,32.681833,23.999277,0.962213
202623,www.usergioarboleda.edu.co,16.463956,1.948897,1.657423
173126,www.wiregrass.edu,29.844493,25.842356,0.858912
76645,www.washburn.edu,47.151936,31.595750,1.617147
