id,domain,rtt_tlse,rtt_tcpping,client_proc
106206,www.westminster.edu,12.168487,7.329642,0.831542
155445,www.lincoln.edu,13.654778,1.805922,0.722877
14394,www.american.edu,7.763651,3.308617,0.849228
217283,www.com.edu,8.651510,1.763311,0.676099
93736,gallaudet.edu,10.309358,3.657753,0.886134
228226,www.usuhs.edu,9.968802,6.612069,1.279053
35175,www.ucmerced.edu,4.674539,1.522557,0.888643
113936,www.pointpark.edu,9.662564,6.850181,0.908671
83893,www.kutztown.edu,10.591404,9.101913,0.880875
62242,www.mc3.edu,18.639631,8.188137,0.988293
170060,www.passhe.edu,19.516402,11.455980,0.966729
207595,www.lasu.edu.ng,11.736248,8.786033,0.919587
125492,www.skidmore.edu,15.649205,10.977296,0.989224
157787,www.nichols.edu,17.363650,13.182267,0.958542
16065,www.uvm.edu,17.514837,15.143325,0.885949
68825,uncg.edu,20.405054,11.119213,0.952537
120558,simmons.edu,16.961434,12.873967,0.836573
116499,qu.edu,18.309672,13.480046,0.922468
156616,www.iup.edu,18.360131,14.739660,0.926718
222063,lmunet.edu,22.235470,16.313289,0.883280
65601,www.quinnipiac.edu,20.270566,13.304147,1.047669
144548,www.gordon.edu,20.370941,14.533110,1.771448
9505,www.uconn.edu,23.219346,13.953371,1.531626
29540,www.mass.edu,44.192544,36.087589,0.838838
152353,www.camdencc.edu,20.512263,15.333906,1.608681
78170,www.fairfield.edu,19.487019,13.616200,1.107383
94097,www.lemoyne.edu,18.883491,12.209730,0.844379
103521,www.ulvr.edu.ec,17.725563,14.110211,0.819869
148652,www.berry.edu,23.078514,17.588892,1.009344
49734,www.chaffey.edu,22.638285,17.766655,0.845008
105213,www.ung.edu,23.092251,19.267677,0.911752
135730,www.delmar.edu,22.080184,17.613098,0.828507
161165,www.academiaexitus.edu.pe,28.551617,16.404060,0.968832
9305,www.sc.edu,22.749991,18.830093,0.903584
125406,www.reynolds.edu,25.165187,18.960654,0.894185
195903,www.lycoming.edu,24.521813,18.595457,1.525363
109947,www.plymouth.edu,23.901600,18.841735,1.117339
20396,artic.edu,23.176042,19.240617,0.886289
69123,www.musc.edu,27.319088,19.646669,0.961415
173618,www.colegioebenezer.edu.co,23.902816,21.836601,0.905921
9556,www.uic.edu,27.612320,19.933184,0.965172
54970,www.indwes.edu,24.094334,17.809956,0.853235
115892,www.atlm.edu,40.469426,15.485195,0.908811
171352,bju.edu,34.648909,19.152265,0.860829
132200,www.koi.edu.au,25.136708,20.941944,0.981238
180144,www.morton.edu,26.901614,24.005107,0.859444
8579,www.ohio-state.edu,30.156182,22.951196,1.993391
69255,www.etsu.edu,35.785838,22.138875,0.866878
200988,www.depauw.edu,29.211381,24.229425,0.597069
116546,www.sbu.edu,23.542023,16.840532,0.965754
97934,www.collegeforcreativestudies.edu,32.943411,23.083360,0.904358
2627,www.illinois.edu,26.385266,22.421320,0.894212
184230,www.cetcolsubsidio.edu.co,26.052620,21.851938,0.841094
105615,www.uiuc.edu,27.461630,23.923381,0.955335
61111,www.uis.edu,26.432457,23.544861,1.922816
114733,www.mainemaritime.edu,29.654507,24.967944,0.951013
121074,www.queens.edu,32.274081,24.050994,0.745352
177115,www.clcillinois.edu,29.631448,25.790727,0.861184
157490,www.hgtc.edu,33.533713,23.773941,0.872761
12609,www.uga.edu,48.086639,23.742555,1.016976
33231,www.cod.edu,32.235066,25.796954,0.834262
145662,www.einstein.edu,30.640211,22.594868,1.579896
223997,www.osumc.edu,31.046454,22.769527,0.983247
194102,esu.edu,10.625602,10.354738,0.241765
26620,www.niu.edu,38.008528,27.071903,2.154042
85407,www.midwestern.edu,31.741408,24.644702,0.938021
121771,www.pic.edu.pk,26.871435,21.555361,0.927847
115387,www.eksu.edu.ng,34.819650,19.500630,1.570346
186068,www.colegiocreando.edu.do,24.431391,21.678726,0.903890
53917,www.usi.edu,31.741709,28.611820,1.014762
163980,www.southern.edu,37.408858,26.305831,1.884408
179013,www.fvtc.edu,30.734693,29.024982,0.840351
72678,lynn.edu,35.122051,28.890312,0.743452
15451,fordham.edu,22.126101,8.649571,1.064066
104950,www.imsa.edu,35.021795,27.879401,1.044737
104718,www.uwf.edu,38.889453,25.367209,0.950645
10642,www.wayne.edu,36.329204,31.294302,0.875991
36748,www.nova.edu,35.607686,29.354588,1.677124
133667,www.naropa.edu,36.280866,33.415378,0.828218
232412,www.siumed.edu,37.082366,28.815402,0.863078
143903,umflint.edu,40.875919,31.910531,0.963619
79742,www.daytonastate.edu,34.965907,30.559436,0.841339
120784,www.tjc.edu,41.141180,34.304089,0.859920
13638,rice.edu,40.221298,31.871672,1.175286
60530,www.augusta.edu,37.562696,33.525309,0.817418
202345,www.asds.edu.co,40.437375,35.349573,0.817986
85700,www.iris.edu,38.217749,33.781361,0.825933
200593,www.istpargentina.edu.pe,36.492391,32.654980,0.824909
203489,www.ws.edu,40.450433,37.117851,0.941938
29620,www.macomb.edu,24.629411,17.939237,1.024768
49453,www.uthsc.edu,40.919541,35.738929,0.889389
9808,elearning.edu.sa,36.712519,32.808843,0.851263
33066,www.umsl.edu,45.435354,35.570283,1.119841
20503,www.smu.edu,43.901515,39.622011,0.963033
54165,centralmethodist.edu,43.865731,38.669751,0.914544
153834,www.iccms.edu,49.711327,46.795640,0.956102
94909,www.fsw.edu,39.720451,33.543705,1.038008
170326,www.roanestate.edu,44.113014,40.346120,1.139435
219939,www.grayson.edu,43.820521,39.873538,0.852810
101973,www.truman.edu,44.459192,39.784807,0.899621
17709,www.stcloudstate.edu,43.154817,39.036044,0.940576
