0,194.954,265.09,158.569,351.279,174.567,226.481,298.669,286.676,201.343
191.927,0,111.157,32.387,176.448,244.447,37.693,110.927,139.467,136.179
265.059,112.269,0,135.895,48.337,135.988,73.593,12.862,24.407,214.303
158.365,33.08,135.885,0,189.459,276.651,68.436,139.282,162.1,119.111
351.139,179.252,48.43,189.491,0,182.769,130.926,53.896,19.476,210.089
174.524,246.173,135.869,276.645,182.787,0,205.204,184.99,144.014,231.757
226.556,41.855,73.553,68.381,130.959,205.154,0,74.582,96.046,210.696
298.557,112.672,8.811,139.193,53.901,185.503,74.371,0,33.117,238.276
286.573,140.136,24.417,162.251,19.473,144.247,96.232,33.489,0,250.158
201.138,137.703,214.26,119.053,210.058,231.708,210.763,238.461,250.029,0
